epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,7610.05,1.06701,1.04874,1.53923,0.81799,0.72696,0.80297,0.52622,1.19729,1.02781,1.59543,0.0062875,0.0062875,0.0062875
48,7828.75,1.04746,1.02244,1.52418,0.81351,0.7345,0.81425,0.5325,1.19265,1.0104,1.60237,0.0061225,0.0061225,0.0061225
47,7773.75,1.06023,1.05566,1.52941,0.80791,0.74016,0.8076,0.52515,1.18046,1.01578,1.6031,0.006205,0.006205,0.006205
49,7992.16,1.05067,1.03806,1.52312,0.83298,0.72877,0.80477,0.5283,1.18215,1.02954,1.58234,0.00604,0.00604,0.00604
48,7936.68,1.04746,1.02244,1.52418,0.81351,0.7345,0.81425,0.5325,1.19265,1.0104,1.60237,0.0061225,0.0061225,0.0061225
50,8155.32,1.03318,1.01686,1.50998,0.82852,0.72549,0.81756,0.51708,1.19323,0.98876,1.59906,0.0059575,0.0059575,0.0059575
49,8099.38,1.05067,1.03806,1.52312,0.83298,0.72877,0.80477,0.5283,1.18215,1.02954,1.58234,0.00604,0.00604,0.00604
51,8318.5,1.04617,1.02348,1.5225,0.83806,0.72246,0.8087,0.5149,1.18679,0.99606,1.60113,0.005875,0.005875,0.005875
50,8261.38,1.03318,1.01686,1.50998,0.82852,0.72549,0.81756,0.51708,1.19323,0.98876,1.59906,0.0059575,0.0059575,0.0059575
52,8483.11,1.03216,1.00824,1.50688,0.8397,0.72858,0.81606,0.53499,1.17121,0.97207,1.57895,0.0057925,0.0057925,0.0057925
51,8424.21,1.04617,1.02348,1.5225,0.83806,0.72246,0.8087,0.5149,1.18679,0.99606,1.60113,0.005875,0.005875,0.005875
53,8646.34,1.02718,0.99828,1.49869,0.77226,0.75705,0.81898,0.52922,1.19175,0.98796,1.59877,0.00571,0.00571,0.00571
52,8586.68,1.03216,1.00824,1.50688,0.8397,0.72858,0.81606,0.53499,1.17121,0.97207,1.57895,0.0057925,0.0057925,0.0057925
54,8809.35,1.02387,0.99686,1.50438,0.81993,0.74354,0.81605,0.52865,1.17096,0.98933,1.58003,0.0056275,0.0056275,0.0056275
53,8750.14,1.02718,0.99828,1.49869,0.77226,0.75705,0.81898,0.52922,1.19175,0.98796,1.59877,0.00571,0.00571,0.00571
55,8972.49,1.02352,0.98559,1.49161,0.80593,0.74465,0.81186,0.52053,1.20225,0.99418,1.61076,0.005545,0.005545,0.005545
54,8912.6,1.02387,0.99686,1.50438,0.81993,0.74354,0.81605,0.52865,1.17096,0.98933,1.58003,0.0056275,0.0056275,0.0056275
56,9135.72,1.01182,0.97692,1.48549,0.79741,0.76492,0.82121,0.53169,1.17963,0.96144,1.59016,0.0054625,0.0054625,0.0054625
55,9075.7,1.02352,0.98559,1.49161,0.80593,0.74465,0.81186,0.52053,1.20225,0.99418,1.61076,0.005545,0.005545,0.005545
57,9298.41,1.01242,0.97648,1.48843,0.84091,0.74335,0.81749,0.5298,1.18691,0.9647,1.59654,0.00538,0.00538,0.00538
56,9238.45,1.01182,0.97692,1.48549,0.79741,0.76492,0.82121,0.53169,1.17963,0.96144,1.59016,0.0054625,0.0054625,0.0054625
58,9460.85,1.00309,0.95894,1.48297,0.82538,0.75132,0.81408,0.52537,1.19078,0.98982,1.59806,0.0052975,0.0052975,0.0052975
57,9400.94,1.01242,0.97648,1.48843,0.84091,0.74335,0.81749,0.5298,1.18691,0.9647,1.59654,0.00538,0.00538,0.00538
58,9563.47,1.00309,0.95894,1.48297,0.82538,0.75132,0.81408,0.52537,1.19078,0.98982,1.59806,0.0052975,0.0052975,0.0052975
59,9623.53,1.00314,0.96916,1.4832,0.80251,0.74479,0.80972,0.52378,1.20036,0.98092,1.61868,0.005215,0.005215,0.005215
59,9726.45,1.00314,0.96916,1.4832,0.80251,0.74479,0.80972,0.52378,1.20036,0.98092,1.61868,0.005215,0.005215,0.005215
60,9786.52,0.99354,0.94732,1.47449,0.82202,0.75539,0.82382,0.5306,1.18848,0.96799,1.60267,0.0051325,0.0051325,0.0051325
60,9889.35,0.99354,0.94732,1.47449,0.82202,0.75539,0.82382,0.5306,1.18848,0.96799,1.60267,0.0051325,0.0051325,0.0051325
61,9949.41,0.99092,0.94584,1.46575,0.80936,0.76975,0.82075,0.5293,1.18389,0.95859,1.59956,0.00505,0.00505,0.00505
62,10112.3,0.98264,0.93055,1.46322,0.83977,0.74382,0.82013,0.53331,1.18254,0.96785,1.59859,0.0049675,0.0049675,0.0049675
61,10052.3,0.99092,0.94584,1.46575,0.80936,0.76975,0.82075,0.5293,1.18389,0.95859,1.59956,0.00505,0.00505,0.00505
63,10275.1,0.98083,0.93697,1.45591,0.81143,0.758,0.81225,0.5309,1.18021,0.95574,1.61113,0.004885,0.004885,0.004885
62,10215,0.98264,0.93055,1.46322,0.83977,0.74382,0.82013,0.53331,1.18254,0.96785,1.59859,0.0049675,0.0049675,0.0049675
64,10438.1,0.9775,0.92976,1.45721,0.83922,0.76235,0.82603,0.53485,1.16837,0.94495,1.5953,0.0048025,0.0048025,0.0048025
63,10378.1,0.98083,0.93697,1.45591,0.81143,0.758,0.81225,0.5309,1.18021,0.95574,1.61113,0.004885,0.004885,0.004885
64,10543,0.9775,0.92976,1.45721,0.83922,0.76235,0.82603,0.53485,1.16837,0.94495,1.5953,0.0048025,0.0048025,0.0048025
65,10603.1,0.982,0.92306,1.45475,0.82901,0.74504,0.82238,0.53385,1.17219,0.95393,1.60226,0.00472,0.00472,0.00472
66,10766.3,0.96243,0.91266,1.44013,0.83711,0.75311,0.82238,0.53609,1.17637,0.92795,1.60435,0.0046375,0.0046375,0.0046375
65,10706.2,0.982,0.92306,1.45475,0.82901,0.74504,0.82238,0.53385,1.17219,0.95393,1.60226,0.00472,0.00472,0.00472
66,10869.2,0.96243,0.91266,1.44013,0.83711,0.75311,0.82238,0.53609,1.17637,0.92795,1.60435,0.0046375,0.0046375,0.0046375
67,10929.3,0.96079,0.89051,1.43678,0.83429,0.75923,0.82468,0.53976,1.1778,0.92224,1.62042,0.004555,0.004555,0.004555
68,11092.3,0.95079,0.89256,1.43616,0.80848,0.76178,0.81581,0.53365,1.1769,0.94497,1.612,0.0044725,0.0044725,0.0044725
67,11032.3,0.96079,0.89051,1.43678,0.83429,0.75923,0.82468,0.53976,1.1778,0.92224,1.62042,0.004555,0.004555,0.004555
69,11255.3,0.95378,0.89443,1.43158,0.80676,0.75565,0.81886,0.53087,1.18248,0.94669,1.61418,0.00439,0.00439,0.00439
68,11195.4,0.95079,0.89256,1.43616,0.80848,0.76178,0.81581,0.53365,1.1769,0.94497,1.612,0.0044725,0.0044725,0.0044725
70,11418.2,0.96118,0.89828,1.43034,0.82221,0.74615,0.82046,0.5323,1.1689,0.96337,1.6107,0.0043075,0.0043075,0.0043075
69,11358.2,0.95378,0.89443,1.43158,0.80676,0.75565,0.81886,0.53087,1.18248,0.94669,1.61418,0.00439,0.00439,0.00439
71,11582.7,0.94396,0.88538,1.42977,0.806,0.77016,0.82175,0.53614,1.15753,0.95752,1.59605,0.004225,0.004225,0.004225
70,11522.7,0.96118,0.89828,1.43034,0.82221,0.74615,0.82046,0.5323,1.1689,0.96337,1.6107,0.0043075,0.0043075,0.0043075
72,11746.5,0.93772,0.8702,1.4198,0.8203,0.76892,0.8248,0.53416,1.16841,0.94191,1.61539,0.0041425,0.0041425,0.0041425
71,11686.5,0.94396,0.88538,1.42977,0.806,0.77016,0.82175,0.53614,1.15753,0.95752,1.59605,0.004225,0.004225,0.004225
72,11849.7,0.93772,0.8702,1.4198,0.8203,0.76892,0.8248,0.53416,1.16841,0.94191,1.61539,0.0041425,0.0041425,0.0041425
73,11909.9,0.93396,0.87118,1.41752,0.83125,0.76385,0.82551,0.53835,1.17106,0.93607,1.62316,0.00406,0.00406,0.00406
73,12013,0.93396,0.87118,1.41752,0.83125,0.76385,0.82551,0.53835,1.17106,0.93607,1.62316,0.00406,0.00406,0.00406
74,12073.6,0.93497,0.88236,1.42096,0.82065,0.76469,0.823,0.54041,1.15259,0.93247,1.60674,0.0039775,0.0039775,0.0039775
74,12176.3,0.93497,0.88236,1.42096,0.82065,0.76469,0.823,0.54041,1.15259,0.93247,1.60674,0.0039775,0.0039775,0.0039775
75,12237.9,0.92776,0.85416,1.40912,0.81235,0.76279,0.81847,0.54116,1.15554,0.93627,1.61159,0.003895,0.003895,0.003895
75,12340.2,0.92776,0.85416,1.40912,0.81235,0.76279,0.81847,0.54116,1.15554,0.93627,1.61159,0.003895,0.003895,0.003895
76,12401.2,0.92339,0.85399,1.40235,0.8105,0.7636,0.81607,0.53996,1.16396,0.93688,1.61979,0.0038125,0.0038125,0.0038125
76,12503.3,0.92339,0.85399,1.40235,0.8105,0.7636,0.81607,0.53996,1.16396,0.93688,1.61979,0.0038125,0.0038125,0.0038125
77,12565.1,0.92956,0.85595,1.4139,0.80043,0.75373,0.81496,0.53734,1.17573,0.93741,1.62655,0.00373,0.00373,0.00373
77,12667.5,0.92956,0.85595,1.4139,0.80043,0.75373,0.81496,0.53734,1.17573,0.93741,1.62655,0.00373,0.00373,0.00373
78,12729.9,0.92938,0.84814,1.40665,0.77804,0.77643,0.82181,0.53659,1.17365,0.93961,1.62132,0.0036475,0.0036475,0.0036475
78,12831.8,0.92938,0.84814,1.40665,0.77804,0.77643,0.82181,0.53659,1.17365,0.93961,1.62132,0.0036475,0.0036475,0.0036475
79,12894.6,0.90894,0.8402,1.39628,0.80958,0.76462,0.82359,0.53535,1.17751,0.93617,1.63276,0.003565,0.003565,0.003565
79,12995.4,0.90894,0.8402,1.39628,0.80958,0.76462,0.82359,0.53535,1.17751,0.93617,1.63276,0.003565,0.003565,0.003565
80,13058.2,0.90674,0.83942,1.39476,0.78592,0.79005,0.8269,0.53794,1.17456,0.92506,1.63504,0.0034825,0.0034825,0.0034825
80,13159.3,0.90674,0.83942,1.39476,0.78592,0.79005,0.8269,0.53794,1.17456,0.92506,1.63504,0.0034825,0.0034825,0.0034825
81,13221.7,0.90945,0.82842,1.39497,0.81003,0.76397,0.82801,0.53766,1.17029,0.9252,1.63943,0.0034,0.0034,0.0034
81,13324,0.90945,0.82842,1.39497,0.81003,0.76397,0.82801,0.53766,1.17029,0.9252,1.63943,0.0034,0.0034,0.0034
82,13386.8,0.89413,0.8215,1.38482,0.8101,0.76008,0.82565,0.53455,1.16244,0.9342,1.63509,0.0033175,0.0033175,0.0033175
82,13487.8,0.89413,0.8215,1.38482,0.8101,0.76008,0.82565,0.53455,1.16244,0.9342,1.63509,0.0033175,0.0033175,0.0033175
83,13551.1,0.89748,0.82803,1.38985,0.80542,0.7729,0.82787,0.5342,1.16782,0.93659,1.63444,0.003235,0.003235,0.003235
83,13652.4,0.89748,0.82803,1.38985,0.80542,0.7729,0.82787,0.5342,1.16782,0.93659,1.63444,0.003235,0.003235,0.003235
